num position 0
curr_date===== 2023-01-03 00:00:00
当前资产： 10000000.0 当前现金： 10000000.0
2023-01-04, 买单执行,2023-01-04 10:35:00, SZ300498, 19.12191283931732, 1100, 创建时间 2023-01-04 10:30:00
2023-01-04, 买单执行,2023-01-04 10:35:00, SH601919, 10.231022542190551, 2100, 创建时间 2023-01-04 10:30:00
2023-01-04, 买单执行,2023-01-04 10:35:00, SZ002714, 47.304733052062986, 500, 创建时间 2023-01-04 10:30:00
2023-01-04, 买单执行,2023-01-04 10:35:00, SZ002050, 20.639999389648438, 1100, 创建时间 2023-01-04 10:30:00
2023-01-04, 买单执行,2023-01-04 10:55:00, SH601021, 63.0763066947937, 400, 创建时间 2023-01-04 10:50:00
2023-01-04, 买单执行,2023-01-04 10:55:00, SZ002415, 33.723373220825195, 700, 创建时间 2023-01-04 10:50:00
2023-01-04, 买单执行,2023-01-04 10:55:00, SH600132, 124.64246025314331, 200, 创建时间 2023-01-04 10:50:00
2023-01-04, 买单执行,2023-01-04 10:55:00, SH601100, 62.726269405746464, 400, 创建时间 2023-01-04 10:50:00
2023-01-04, 买单执行,2023-01-04 10:55:00, SZ000596, 264.5899658203125, 100, 创建时间 2023-01-04 10:50:00
2023-01-04, 买单执行,2023-01-04 10:55:00, SH603833, 124.51245763015748, 200, 创建时间 2023-01-04 10:50:00
2023-01-04, 买单执行,2023-01-04 10:55:00, SZ002032, 49.904991526031495, 500, 创建时间 2023-01-04 10:50:00
2023-01-04, 买单执行,2023-01-04 10:55:00, SH601689, 57.59575915260315, 400, 创建时间 2023-01-04 10:50:00
2023-01-04, 买单执行,2023-01-04 10:55:00, SH688065, 61.95619194793701, 400, 创建时间 2023-01-04 10:50:00
2023-01-04, 买单执行,2023-01-04 10:55:00, SH603369, 50.555054236984255, 500, 创建时间 2023-01-04 10:50:00
2023-01-04, 买单执行,2023-01-04 10:55:00, SH688363, 128.41284915618897, 200, 创建时间 2023-01-04 10:50:00
2023-01-04, 买单执行,2023-01-04 11:05:00, SH601888, 215.02151526031494, 100, 创建时间 2023-01-04 11:00:00
2023-01-04, 买单执行,2023-01-04 11:05:00, SH601966, 20.132012160682677, 1100, 创建时间 2023-01-04 11:00:00
2023-01-04, 买单执行,2023-01-04 11:05:00, SH600009, 55.9655950843811, 400, 创建时间 2023-01-04 11:00:00
2023-01-04, 买单执行,2023-01-04 11:05:00, SH603899, 54.38543906822205, 400, 创建时间 2023-01-04 11:00:00
2023-01-04, 买单执行,2023-01-04 11:05:00, SZ002304, 158.6999969482422, 200, 创建时间 2023-01-04 11:00:00
2023-01-04, 买单执行,2023-01-04 11:05:00, SH600436, 281.88817135009765, 100, 创建时间 2023-01-04 11:00:00
2023-01-04, 买单执行,2023-01-04 11:05:00, SH601816, 4.850484904623031, 4400, 创建时间 2023-01-04 11:00:00
2023-01-04, 买单执行,2023-01-04 11:05:00, SH600763, 147.34471957092285, 200, 创建时间 2023-01-04 11:00:00
2023-01-04, 买单执行,2023-01-04 11:05:00, SH601111, 10.66106584739685, 2100, 创建时间 2023-01-04 11:00:00
2023-01-04, 买单执行,2023-01-04 11:05:00, SH600809, 276.52765, 100, 创建时间 2023-01-04 11:00:00
2023-01-04, 买单执行,2023-01-04 11:05:00, SH601628, 37.529998779296875, 600, 创建时间 2023-01-04 11:00:00
2023-01-04, 买单执行,2023-01-04 11:05:00, SH600887, 30.7230732208252, 700, 创建时间 2023-01-04 11:00:00
2023-01-04, 买单执行,2023-01-04 11:05:00, SZ000069, 5.550000190734863, 4000, 创建时间 2023-01-04 11:00:00
2023-01-04, 买单执行,2023-01-04 11:05:00, SH603288, 77.3277316947937, 300, 创建时间 2023-01-04 11:00:00
2023-01-04, 买单执行,2023-01-04 11:05:00, SH600600, 106.14061788330078, 200, 创建时间 2023-01-04 11:00:00
2023-01-04, 买单执行,2023-01-04 11:05:00, SZ002756, 91.44913881149292, 300, 创建时间 2023-01-04 11:00:00
2023-01-04, 买单执行,2023-01-04 11:05:00, SZ002475, 29.020002365112305, 700, 创建时间 2023-01-04 11:00:00
2023-01-04, 买单执行,2023-01-04 11:05:00, SZ300347, 104.59045220108034, 200, 创建时间 2023-01-04 11:00:00
2023-01-04, 买单执行,2023-01-04 11:05:00, SH600000, 7.320000171661377, 3000, 创建时间 2023-01-04 11:00:00
2023-01-04, 买单执行,2023-01-04 11:05:00, SH600406, 24.650001525878906, 900, 创建时间 2023-01-04 11:00:00
2023-01-04, 买单执行,2023-01-04 11:05:00, SZ000786, 26.652666526031492, 900, 创建时间 2023-01-04 11:00:00
2023-01-04, 买单执行,2023-01-04 11:05:00, SH600029, 7.700769809246063, 2800, 创建时间 2023-01-04 11:00:00
2023-01-04, 买单执行,2023-01-04 11:05:00, SH601225, 18.28182868671417, 1200, 创建时间 2023-01-04 11:00:00
2023-01-04, 买单执行,2023-01-04 11:05:00, SH600941, 72.4072415260315, 300, 创建时间 2023-01-04 11:00:00
2023-01-04, 买单执行,2023-01-04 11:05:00, SH600115, 5.420542076301575, 3900, 创建时间 2023-01-04 11:00:00
2023-01-04, 买单执行,2023-01-04 11:05:00, SH601398, 4.3504349046230315, 4900, 创建时间 2023-01-04 11:00:00
2023-01-04, 买单执行,2023-01-04 11:05:00, SZ000895, 25.632562160682678, 900, 创建时间 2023-01-04 11:00:00
2023-01-04, 买单执行,2023-01-04 11:05:00, SH601169, 4.320000171661377, 5000, 创建时间 2023-01-04 11:00:00
2023-01-04, 买单执行,2023-01-04 11:05:00, SH600383, 10.751074046230316, 2200, 创建时间 2023-01-04 11:00:00
2023-01-04, 买单执行,2023-01-04 11:05:00, SH600741, 16.76999855041504, 1300, 创建时间 2023-01-04 11:00:00
