curr_date===== 2023-01-03 00:00:00
当前资产： 10000000.0 当前现金： 10000000.0
2023-01-04, 买单执行,2023-01-04 10:00:00, SZ002050, 20.59205915260315, 1100, 创建时间 2023-01-04 09:55:00
2023-01-04, 买单执行,2023-01-04 10:30:00, SH601021, 62.6862683052063, 400, 创建时间 2023-01-04 10:25:00
2023-01-04, 买单执行,2023-01-04 10:30:00, SH601888, 215.20001220703125, 100, 创建时间 2023-01-04 10:25:00
2023-01-04, 买单执行,2023-01-04 10:30:00, SH601966, 20.032001779174806, 1100, 创建时间 2023-01-04 10:25:00
2023-01-04, 买单执行,2023-01-04 10:30:00, SH600009, 56.15561271095275, 400, 创建时间 2023-01-04 10:25:00
2023-01-04, 买单执行,2023-01-04 10:30:00, SH603899, 54.4354433052063, 400, 创建时间 2023-01-04 10:25:00
2023-01-04, 买单执行,2023-01-04 10:30:00, SZ000858, 179.47795271453856, 100, 创建时间 2023-01-04 10:25:00
2023-01-04, 买单执行,2023-01-04 10:30:00, SZ002415, 33.893392204666135, 700, 创建时间 2023-01-04 10:25:00
2023-01-04, 买单执行,2023-01-04 10:30:00, SZ002304, 158.77587050628662, 200, 创建时间 2023-01-04 10:25:00
2023-01-04, 买单执行,2023-01-04 10:30:00, SH600436, 281.7799987792969, 200, 创建时间 2023-01-04 10:25:00
2023-01-04, 买单执行,2023-01-04 10:30:00, SH600132, 124.31242542190552, 200, 创建时间 2023-01-04 10:25:00
2023-01-04, 买单执行,2023-01-04 10:30:00, SH601816, 4.830482923698425, 4600, 创建时间 2023-01-04 10:25:00
2023-01-04, 买单执行,2023-01-04 10:30:00, SH601100, 63.23632254219055, 400, 创建时间 2023-01-04 10:25:00
2023-01-04, 买单执行,2023-01-04 10:30:00, SH600763, 148.28481601257323, 200, 创建时间 2023-01-04 10:25:00
2023-01-04, 买单执行,2023-01-04 10:30:00, SZ000596, 265.62656610412597, 200, 创建时间 2023-01-04 10:25:00
2023-01-04, 买单执行,2023-01-04 10:30:00, SH601111, 10.581057923698426, 2200, 创建时间 2023-01-04 10:25:00
2023-01-04, 买单执行,2023-01-04 10:30:00, SH600809, 277.16772864990236, 200, 创建时间 2023-01-04 10:25:00
2023-01-04, 买单执行,2023-01-04 10:30:00, SH603833, 124.01240763015747, 200, 创建时间 2023-01-04 10:25:00
2023-01-04, 买单执行,2023-01-04 10:30:00, SH601628, 37.47999954223633, 600, 创建时间 2023-01-04 10:25:00
2023-01-04, 买单执行,2023-01-04 10:30:00, SZ002032, 50.005, 500, 创建时间 2023-01-04 10:25:00
2023-01-04, 买单执行,2023-01-04 10:30:00, SH600887, 30.883089068222045, 700, 创建时间 2023-01-04 10:25:00
2023-01-04, 买单执行,2023-01-04 10:30:00, SZ000069, 5.630000114440918, 4300, 创建时间 2023-01-04 10:25:00
2023-01-04, 买单执行,2023-01-04 10:30:00, SH603288, 77.70777457809449, 300, 创建时间 2023-01-04 10:25:00
2023-01-04, 买单执行,2023-01-04 10:30:00, SH601689, 56.88568525314331, 400, 创建时间 2023-01-04 10:25:00
2023-01-04, 买单执行,2023-01-04 10:30:00, SH600600, 106.10061296768188, 200, 创建时间 2023-01-04 10:25:00
2023-01-04, 买单执行,2023-01-04 10:30:00, SZ002756, 92.02000427246094, 300, 创建时间 2023-01-04 10:25:00
2023-01-04, 买单执行,2023-01-04 10:30:00, SH688065, 61.90999984741211, 400, 创建时间 2023-01-04 10:25:00
2023-01-04, 买单执行,2023-01-04 10:30:00, SH603369, 50.555054236984255, 500, 创建时间 2023-01-04 10:25:00
2023-01-04, 买单执行,2023-01-04 10:30:00, SZ002475, 29.520000457763672, 700, 创建时间 2023-01-04 10:25:00
2023-01-04, 买单执行,2023-01-04 10:30:00, SZ300347, 104.56999206542969, 200, 创建时间 2023-01-04 10:25:00
2023-01-04, 买单执行,2023-01-04 10:30:00, SH600000, 7.329999923706055, 3100, 创建时间 2023-01-04 10:25:00
2023-01-04, 买单执行,2023-01-04 10:30:00, SH600406, 24.70246885547638, 900, 创建时间 2023-01-04 10:25:00
2023-01-04, 买单执行,2023-01-04 10:30:00, SZ000786, 26.512653136444086, 900, 创建时间 2023-01-04 10:25:00
2023-01-04, 买单执行,2023-01-04 10:30:00, SH600029, 7.600759904623032, 3000, 创建时间 2023-01-04 10:25:00
2023-01-04, 买单执行,2023-01-04 10:30:00, SH601225, 18.491850678634645, 1200, 创建时间 2023-01-04 10:25:00
2023-01-04, 买单执行,2023-01-04 10:30:00, SH600941, 71.55715805206299, 300, 创建时间 2023-01-04 10:25:00
2023-01-04, 买单执行,2023-01-04 10:30:00, SH600115, 5.420000076293945, 4200, 创建时间 2023-01-04 10:25:00
2023-01-04, 买单执行,2023-01-04 10:30:00, SH601398, 4.3504349046230315, 5200, 创建时间 2023-01-04 10:25:00
2023-01-04, 买单执行,2023-01-04 10:30:00, SZ000895, 25.70256885547638, 900, 创建时间 2023-01-04 10:25:00
2023-01-04, 买单执行,2023-01-04 10:30:00, SH601169, 4.320000171661377, 5300, 创建时间 2023-01-04 10:25:00
2023-01-04, 买单执行,2023-01-04 10:30:00, SH600383, 10.651064618492127, 2300, 创建时间 2023-01-04 10:25:00
2023-01-04, 买单执行,2023-01-04 10:30:00, SH600741, 16.799999237060547, 1300, 创建时间 2023-01-04 10:25:00
2023-01-04, 买单执行,2023-01-04 10:30:00, SZ000568, 223.21232144165037, 100, 创建时间 2023-01-04 10:25:00
2023-01-04, 买单执行,2023-01-04 10:30:00, SH600104, 14.429999351501465, 1600, 创建时间 2023-01-04 10:25:00
2023-01-04, 买单执行,2023-01-04 10:30:00, SZ300661, 167.82677855834962, 100, 创建时间 2023-01-04 10:25:00
2023-01-04, 买单执行,2023-01-04 10:30:00, SH605499, 172.3472348312378, 100, 创建时间 2023-01-04 10:25:00
2023-01-04, 买单执行,2023-01-04 10:30:00, SH688363, 129.27293576660156, 200, 创建时间 2023-01-04 10:25:00
2023-01-04, 买单执行,2023-01-04 10:30:00, SZ300498, 19.05190614452362, 1200, 创建时间 2023-01-04 10:25:00
2023-01-04, 买单执行,2023-01-04 10:30:00, SH601919, 10.25999927520752, 2200, 创建时间 2023-01-04 10:25:00
2023-01-04, 买单执行,2023-01-04 10:30:00, SZ002714, 47.2247232208252, 500, 创建时间 2023-01-04 10:25:00
2023-01-04, 买单执行,2023-01-04 10:30:00, SZ002050, 20.6820683052063, 1100, 创建时间 2023-01-04 10:25:00
2023-01-04, 买单执行,2023-01-04 11:00:00, SH601021, 63.24632567863464, 400, 创建时间 2023-01-04 10:55:00
2023-01-04, 买单执行,2023-01-04 11:00:00, SH601888, 215.03151076660157, 100, 创建时间 2023-01-04 10:55:00
2023-01-04, 买单执行,2023-01-04 11:00:00, SH601966, 20.152014618492124, 1100, 创建时间 2023-01-04 10:55:00
2023-01-04, 买单执行,2023-01-04 11:00:00, SH600009, 56.035601779174804, 400, 创建时间 2023-01-04 10:55:00
2023-01-04, 买单执行,2023-01-04 11:00:00, SH603899, 54.39544220466614, 400, 创建时间 2023-01-04 10:55:00
2023-01-04, 买单执行,2023-01-04 11:00:00, SZ000858, 178.267825, 100, 创建时间 2023-01-04 10:55:00
2023-01-04, 买单执行,2023-01-04 11:00:00, SZ002415, 33.773377457809445, 700, 创建时间 2023-01-04 10:55:00
2023-01-04, 买单执行,2023-01-04 11:00:00, SZ002304, 158.58584906463622, 100, 创建时间 2023-01-04 10:55:00
2023-01-04, 买单执行,2023-01-04 11:00:00, SH600132, 124.52244550628662, 200, 创建时间 2023-01-04 10:55:00
2023-01-04, 买单执行,2023-01-04 11:00:00, SH601816, 4.849999904632568, 4600, 创建时间 2023-01-04 10:55:00
2023-01-04, 买单执行,2023-01-04 11:00:00, SH601100, 62.839996337890625, 400, 创建时间 2023-01-04 10:55:00
2023-01-04, 买单执行,2023-01-04 11:00:00, SH600763, 147.31471779174805, 200, 创建时间 2023-01-04 10:55:00
2023-01-04, 买单执行,2023-01-04 11:00:00, SH601111, 10.641064343357087, 2200, 创建时间 2023-01-04 10:55:00
2023-01-04, 买单执行,2023-01-04 11:00:00, SH603833, 124.22242771453857, 200, 创建时间 2023-01-04 10:55:00
2023-01-04, 买单执行,2023-01-04 11:00:00, SH601628, 37.563757373428345, 600, 创建时间 2023-01-04 10:55:00
2023-01-04, 买单执行,2023-01-04 11:00:00, SZ002032, 49.900001525878906, 500, 创建时间 2023-01-04 10:55:00
2023-01-04, 买单执行,2023-01-04 11:00:00, SH600887, 30.783078686714173, 700, 创建时间 2023-01-04 10:55:00
2023-01-04, 买单执行,2023-01-04 11:00:00, SZ000069, 5.550555190753936, 4300, 创建时间 2023-01-04 10:55:00
2023-01-04, 买单执行,2023-01-04 11:00:00, SH603288, 77.09770533752442, 300, 创建时间 2023-01-04 10:55:00
2023-01-04, 买单执行,2023-01-04 11:00:00, SH601689, 57.38573525314331, 400, 创建时间 2023-01-04 10:55:00
